ts,potus
2018-06-29 18:21:44,1
2018-06-29 18:06:50,1
2018-06-29 18:06:46,1
2018-06-29 17:43:37,1
2018-06-29 17:18:00,1
2018-06-29 16:15:28,1
2018-06-29 15:28:47,1
2018-06-29 15:28:46,1
2018-06-29 14:11:38,1
2018-06-28 20:50:47,1
2018-06-28 19:13:22,1
2018-06-28 18:58:51,1
2018-06-28 18:54:51,1
2018-06-28 18:49:05,1
2018-06-28 18:46:38,1
2018-06-28 17:39:14,1
2018-06-28 17:15:28,1
2018-06-28 15:58:42,1
2018-06-28 15:58:00,1
2018-06-28 13:39:33,1
2018-06-28 13:07:14,1
2018-06-28 04:53:13,1
2018-06-28 04:52:22,1
2018-06-28 03:25:34,1
2018-06-28 03:25:32,1
2018-06-28 03:24:16,1
2018-06-27 22:47:51,1
2018-06-27 21:19:11,1
2018-06-27 20:17:56,1
2018-06-27 19:15:53,1
2018-06-27 18:22:24,1
2018-06-27 17:44:55,1
2018-06-27 17:44:52,1
2018-06-27 16:16:23,1
2018-06-27 16:16:20,1
2018-06-27 14:56:26,1
2018-06-27 14:18:43,1
2018-06-27 14:17:06,1
2018-06-26 21:43:57,1
2018-06-26 20:24:34,1
2018-06-26 20:19:45,1
2018-06-26 19:31:58,1
2018-06-26 17:08:29,1
2018-06-26 16:21:39,1
2018-06-26 16:06:28,1
2018-06-26 14:44:33,1
2018-06-26 14:41:40,1
2018-06-26 13:31:53,1
2018-06-26 11:17:58,1
2018-06-26 02:17:09,1
2018-06-26 01:08:34,1
2018-06-25 22:30:17,1
2018-06-25 22:21:26,1
2018-06-25 21:29:43,1
2018-06-25 21:29:41,1
2018-06-25 21:28:28,1
2018-06-25 18:11:49,1
2018-06-25 17:55:38,1
2018-06-25 17:55:36,1
2018-06-25 17:38:25,1
2018-06-25 12:55:36,1
2018-06-25 12:55:35,1
2018-06-25 02:41:19,1
2018-06-23 22:08:17,1
2018-06-23 21:54:41,1
2018-06-23 21:34:13,1
2018-06-23 21:30:29,1
2018-06-23 17:12:23,1
2018-06-23 17:08:40,1
2018-06-23 17:08:03,1
2018-06-23 16:59:02,1
2018-06-23 14:56:25,1
2018-06-23 14:42:25,1
2018-06-23 14:04:25,1
2018-06-23 13:52:44,1
2018-06-23 00:41:02,1
2018-06-22 23:13:25,1
2018-06-22 21:41:28,1
2018-06-22 21:25:18,1
2018-06-22 21:07:33,1
2018-06-22 20:40:29,1
2018-06-22 20:24:27,1
2018-06-22 19:50:25,1
2018-06-22 19:40:48,1
2018-06-22 19:00:20,1
2018-06-22 18:30:51,1
2018-06-22 18:24:33,1
2018-06-22 17:57:26,1
2018-06-22 14:11:12,1
2018-06-22 13:46:47,1
2018-06-22 13:44:35,1
2018-06-22 02:13:57,1
2018-06-22 01:21:44,1
2018-06-21 22:41:14,1
2018-06-21 21:54:44,1
2018-06-21 20:48:14,1
2018-06-21 20:46:55,1
2018-06-21 20:46:53,1
2018-06-21 20:46:51,1
2018-06-21 20:26:51,1
2018-06-21 17:08:58,1
2018-06-21 15:06:27,1
2018-06-21 15:00:59,1
2018-06-21 14:54:31,1
2018-06-21 14:27:31,1
2018-06-21 14:07:52,1
2018-06-21 13:33:15,1
2018-06-21 13:33:06,1
2018-06-21 12:42:30,1
2018-06-21 04:07:42,1
2018-06-21 04:07:40,1
2018-06-20 23:19:32,1
2018-06-20 23:01:26,1
2018-06-20 22:58:50,1
2018-06-20 21:24:46,1
2018-06-20 20:39:58,1
2018-06-20 19:58:15,1
2018-06-20 19:34:14,1
2018-06-20 15:04:19,1
2018-06-20 15:01:27,1
2018-06-20 14:50:41,1
2018-06-20 14:42:54,1
2018-06-20 13:29:31,1
2018-06-20 12:26:55,1
2018-06-20 02:38:07,1
2018-06-20 02:18:26,1
2018-06-20 00:31:49,1
2018-06-20 00:31:41,1
2018-06-19 22:01:21,1
2018-06-19 21:27:22,1
2018-06-19 20:26:01,1
2018-06-19 20:25:59,1
2018-06-19 19:28:32,1
2018-06-19 18:39:18,1
2018-06-19 18:25:29,1
2018-06-19 18:04:41,1
2018-06-19 17:36:29,1
2018-06-19 17:34:27,1
2018-06-19 17:33:23,1
2018-06-19 17:28:33,1
2018-06-19 17:28:31,1
2018-06-19 17:16:58,1
2018-06-19 16:39:20,1
2018-06-19 15:15:18,1
2018-06-19 14:53:39,1
2018-06-19 14:53:36,1
2018-06-19 14:12:43,1
2018-06-19 14:07:56,1
2018-06-19 14:04:33,1
2018-06-18 23:28:29,1
2018-06-18 22:17:14,1
2018-06-18 21:32:44,1
2018-06-18 21:04:09,1
2018-06-18 19:29:28,1
2018-06-18 19:29:25,1
2018-06-18 18:43:45,1
2018-06-18 17:24:56,1
2018-06-18 16:57:31,1
2018-06-18 15:59:09,1
2018-06-18 15:31:34,1
2018-06-17 13:42:53,1
2018-06-17 13:15:40,1
2018-06-17 13:15:32,1
2018-06-16 20:32:48,1
2018-06-16 16:04:32,1
2018-06-16 14:00:32,1
2018-06-15 22:36:08,1
2018-06-15 22:36:06,1
2018-06-15 22:36:03,1
2018-06-15 17:24:32,1
2018-06-15 16:33:13,1
2018-06-15 16:11:28,1
2018-06-15 15:51:22,1
2018-06-15 15:37:31,1
2018-06-15 15:37:29,1
2018-06-15 14:37:34,1
2018-06-15 00:19:45,1
2018-06-14 19:39:19,1
2018-06-14 19:39:17,1
2018-06-14 17:41:09,1
2018-06-14 16:48:54,1
2018-06-14 16:22:06,1
2018-06-14 15:17:14,1
2018-06-14 14:34:23,1
2018-06-14 14:21:27,1
2018-06-14 13:12:28,1
2018-06-13 19:14:12,1
2018-06-13 19:13:52,1
2018-06-13 17:28:41,1
2018-06-13 16:32:37,1
2018-06-13 01:19:23,1
2018-06-13 00:30:06,1
2018-06-13 00:12:53,1
2018-06-13 00:03:45,1
2018-06-12 23:42:30,1
2018-06-12 22:24:07,1
2018-06-12 22:09:29,1
2018-06-12 22:05:21,1
2018-06-12 22:04:16,1
2018-06-12 21:24:13,1
2018-06-12 16:43:02,1
2018-06-12 09:45:08,1
2018-06-12 00:52:04,1
2018-06-11 21:53:33,1
2018-06-11 21:28:37,1
2018-06-11 17:55:28,1
2018-06-11 17:33:37,1
2018-06-11 16:50:41,1
2018-06-11 10:26:32,1
2018-06-11 10:21:10,1
2018-06-10 14:24:09,1
2018-06-10 00:08:13,1
